sr,Make,Model,Variant,Ex-Showroom_Price,Fuel_Tank_Capacity,Fuel_Type,Body_Type,ARAI_Certified_Mileage,Gears,Power,Seating_Capacity,Type,Number_of_Airbags
375,Maruti Suzuki R,Wagon,Lxi (O),"Rs. 4,41,000",32 litres,Petrol,Hatchback,22.5 km/litre,5,68PS@5500rpm,5,Manual,2
376,Maruti Suzuki R,Wagon,Vxi (O),"Rs. 4,86,001",32 litres,Petrol,Hatchback,22.5 km/litre,5,68PS@5500rpm,5,Manual,2
377,Maruti Suzuki R,Wagon,1.2L Vxi (O),"Rs. 5,20,500",32 litres,Petrol,Hatchback,21.5 km/litre,5,83PS@6000rpm,5,Manual,2
378,Maruti Suzuki R,Wagon,1.2L Vxi Ags (O),"Rs. 5,67,500",32 litres,Petrol,Hatchback,21.5 km/litre,5,83PS@6000rpm,5,Automatic,2
379,Maruti Suzuki R,Wagon,Vxi Ags (O),"Rs. 5,33,000",32 litres,Petrol,Hatchback,22.5 km/litre,5,68PS@5500rpm,5,Automatic,2
380,Maruti Suzuki R,Wagon,Lxi Cng,"Rs. 5,00,500",32 litres,CNG,Hatchback,,5,68PS@5500rpm,5,Manual,1
381,Maruti Suzuki R,Wagon,Lxi (O) Cng,"Rs. 5,07,500",32 litres,CNG,Hatchback,,5,68PS@5500rpm,5,Manual,2
382,Tata,Tiago Nrg,1.2L Revotron,"Rs. 5,94,993",35 litres,Petrol,Crossover,23.84 km/litre,5,85PS@6000rpm,5,Manual,2
383,Tata,Tiago Nrg,1.05L Revotorq,"Rs. 6,89,993",35 litres,Diesel,Crossover,27.28 km/litre,5,70PS@4000rpm,5,Manual,2
384,Tata,Tiago Nrg,1.2L Revotron Amt,"Rs. 6,39,993",35 litres,Petrol,Crossover,23.84 km/litre,5,85PS@6000rpm,5,AMT,2
385,Fiat,Punto Evo,Emotion Multijet 1.3,"Rs. 7,47,774",45 litres,Diesel,Hatchback,21.2 km/litre,5,76PS@4000RPM,5,Manual,2
386,Skoda,Octavia,Ambition 1.4 Tsi,"Rs. 15,99,599",50 litres,Petrol,Sedan,16.7 km/litre,6,140PS@6000RPM,5,Manual,4
387,Skoda,Octavia,Ambition 2.0 Tdi Cr,"Rs. 17,99,599",50 litres,Diesel,Sedan,21 km/litre,6,143PS@4000rpm,5,Manual,4
